"count","results__id","results__challenge_id","results__user_id","results__team_id"
"","6956","93","365","122"
"","6960","94","365","122"
"","6961","88","98","37"
"","6984","95","365","122"
"","7014","87","395","132"
"","7016","97","365","122"
"","7017","88","395","132"
"","7018","98","365","122"
"","7025","89","395","132"
"","7026","99","365","122"
"","7048","108","111","40"
"","7049","109","111","40"
"","7066","82","331","111"
"","7084","71","394","132"
"","7086","111","98","37"
"","7087","112","98","37"
"","7093","113","98","37"
"","7099","115","98","37"
"","7115","56","339","114"
"","7167","32","388","130"
"","7177","56","105","39"
"","7188","62","394","132"
"","7211","82","194","65"
"","7253","124","73","29"
"","7261","83","331","111"
"","7271","85","388","130"
"","7281","109","389","130"
"","7286","108","120","43"
"","7291","112","111","40"
"","7301","135","313","106"
"","7306","111","111","40"
"","7309","134","313","106"
"","7318","57","52","23"
"","7319","133","311","106"
"","7321","111","435","80"
"","7326","113","111","40"
"","7330","123","73","29"
"","7331","113","435","80"
"","7336","56","307","104"
"","7348","108","389","130"
"","7363","86","388","130"
"","7384","109","120","43"
"","7389","111","120","43"
"","7396","114","111","40"
"","7399","32","257","87"
"","7407","115","111","40"
"","7413","113","120","43"
"","7414","87","388","130"
"","7516","59","75","29"
"","7519","89","388","130"
"","7520","121","52","23"
"","7521","90","388","130"
"","7540","88","388","130"
"","7557","116","435","80"
"","7586","62","94","36"
"","7589","138","313","106"
"","7597","114","98","37"
"","7621","65","193","64"
"","7634","62","194","65"
"","7639","56","362","121"
"","7660","79","306","104"
"","7663","112","120","43"
"","7678","115","120","43"
"","7680","116","120","43"
"","7691","58","105","39"
"","7720","92","388","130"
"","7728","58","339","114"
"","7765","118","120","43"
"","7767","119","120","43"
"","7769","64","54","23"
"","7827","128","330","111"
"","7832","57","74","29"
"","7838","112","94","36"
"","7842","115","94","36"
"","7853","116","94","36"
"","7896","116","60","25"
"","7928","68","54","23"
"","7943","85","262","87"
"","7946","86","262","87"
"","7952","118","94","36"
"","7953","95","388","130"
"","7954","87","262","87"
"","7964","136","76","29"
"","7995","88","262","87"
"","8006","97","388","130"
"","8007","118","229","73"
"","8009","126","73","29"
"","8061","128","315","106"
"","8062","98","388","130"
"","8065","99","388","130"
"","8071","119","94","36"
"","8074","119","229","73"
"","8092","88","406","137"
"","8105","137","76","29"
"","8162","101","388","130"
"","8173","63","101","37"
"","8177","102","388","130"
"","8276","112","74","29"
"","8281","89","262","87"
"","8282","90","262","87"
"","8284","81","435","80"
"","8285","129","315","106"
"","8289","115","74","29"
"","8305","83","194","65"
"","8312","91","262","87"
"","8314","83","54","23"
"","8320","79","130","47"
"","8333","62","105","39"
"","8341","92","262","87"
"","8345","114","94","36"
"","8354","104","388","130"
"","8371","94","262","87"
"","8372","96","362","121"
"","8379","93","262","87"
"","8425","130","315","106"
"","8443","109","94","36"
"","8451","78","105","39"
"","8474","116","308","104"
"","8477","131","315","106"
"","8484","112","435","80"
"","8486","97","262","87"
"","8487","83","94","36"
"","8489","98","262","87"
"","8491","62","183","63"
"","8495","63","257","87"
"","8497","114","434","80"
"","8499","63","51","23"
"","8501","82","130","47"
"","8508","115","435","80"
"","8526","132","315","106"
"","8531","58","64","25"
"","8536","100","262","87"
"","8539","118","62","25"
"","8540","99","262","87"
"","8542","91","330","111"
"","8549","82","94","36"
"","8552","118","435","80"
"","8570","101","262","87"
"","8572","102","262","87"
"","8575","119","62","25"
"","8588","120","435","80"
"","8605","119","435","80"
"","8607","104","262","87"
"","8619","103","262","87"
"","8651","65","309","104"
"","8702","120","62","25"
"","8724","83","130","47"
"","8734","79","188","64"
"","8758","62","362","121"
"","8759","121","185","63"
"","8763","85","222","71"
"","8768","86","222","71"
"","8769","87","222","71"
"","8770","88","222","71"
"","8771","89","222","71"
"","8782","90","222","71"
"","8796","59","257","87"
"","8810","139","64","25"
"","8832","57","188","64"
"","8843","57","220","71"
"","8965","29","205","67"
"","8975","28","205","67"
"","8993","108","223","72"
"","8999","106","54","23"
"","9001","79","339","114"
"","9009","30","200","67"
"","9022","111","223","72"
"","9024","79","105","39"
"","9029","129","76","29"
"","9053","56","112","40"
"","9079","57","316","106"
"","9088","73","105","39"
"","9089","73","339","114"
"","9115","28","52","23"
"","9118","29","52","23"
"","9124","112","136","48"
"","9150","78","188","64"
"","9175","29","307","104"
"","9195","30","52","23"
"","9205","111","309","104"
"","9225","115","136","48"
"","9231","60","194","65"
"","9285","28","60","25"
"","9299","113","223","72"
"","9334","113","309","104"
"","9338","114","309","104"
"","9407","83","200","67"
"","9442","59","362","121"
"","9444","50","185","63"
"","9450","74","306","104"
"","9462","118","309","104"
"","9477","121","328","111"
"","9489","120","309","104"
"","9501","92","222","71"
"","9507","119","309","104"
"","9512","27","200","67"
"","9537","58","406","137"
"","9571","59","229","73"
"","9577","93","222","71"
"","9581","86","182","63"
"","9587","94","222","71"
"","9606","60","305","104"
"","9607","121","200","67"
"","9635","97","222","71"
"","9638","62","229","73"
"","9643","75","306","104"
"","9646","81","54","23"
"","9741","58","306","104"
"","9753","102","182","63"
"","9769","101","182","63"
"","9789","116","111","40"
"","9810","29","257","87"
"","9817","57","105","39"
"","9842","57","339","114"
"","9847","73","183","63"
"","9850","139","315","106"
"","9851","73","306","104"
"","9859","98","182","63"
"","9867","99","182","63"
"","9870","100","182","63"
"","9916","98","222","71"
"","9919","99","222","71"
"","9923","100","222","71"
"","9940","28","257","87"
"","9945","101","222","71"
"","9948","102","222","71"
"","9951","103","182","63"
"","9967","103","222","71"
"","9969","29","74","29"
"","9976","31","64","25"
"","10005","104","222","71"
"","10013","29","434","80"
"","10049","78","183","63"
"","10074","133","105","39"
"","10089","71","305","104"
"","10094","108","191","64"
"","10124","75","200","67"
"","10145","133","339","114"
"","10153","109","302","103"
"","10164","29","316","106"
"","10179","29","388","130"
"","10181","31","434","80"
"","10183","28","311","106"
"","10186","31","200","67"
"","10207","31","388","130"
"","10211","113","389","130"
"","10226","27","311","106"
"","10231","28","388","130"
"","10243","111","105","39"
"","10252","32","435","80"
"","10274","112","105","39"
"","10281","113","105","39"
"","10333","108","302","103"
"","10358","59","194","65"
"","10425","97","182","63"
"","10428","101","365","122"
"","10442","102","365","122"
"","10482","109","191","64"
"","10552","111","339","114"
"","10555","124","200","67"
"","10568","111","191","64"
"","10573","112","339","114"
"","10585","86","105","39"
